职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
经济管理类 教师/编辑,8-10万/年,佛山,无需经验,硕士,"经济学
国际经贸
行政管理
金融学
财政
工商管理
档案管理
编辑
助教
五险一金
餐饮补贴
年终奖金
周末双休
带薪年假",佛山市数苑科技信息有限公司,民营  |  50-150人,计算机软件
助理经济咨询师,5-8千,成都·金牛区,1年,大专,"五险一金
员工旅游
年终奖金
绩效奖金",四川中鼎汇智社会经济咨询有限公司,民营  |  50-150人,学术/科研
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
经济（咨询、造价、可研）专家,9千-1.3万,昆明·西山区,3-4年,本科,"经济学
工程管理
工程造价
预算
造价
决算
经济分析
加油站
加气站
经济法规
五险一金
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金",哈尔滨天源石化工程设计有限责任公司云南分公司,民营  |  1000-5000人,石油/化工/矿产/地质
经济（咨询、造价、可研）专家,1.5-2.5万,武汉·硚口区,8-9年,本科,"五险一金
绩效奖金
节日福利
高温补贴
包吃",哈尔滨天源石化工程设计有限责任公司武汉分公司,民营  |  500-1000人,石油/化工/矿产/地质
能源经济研究员,8-15万/年,杭州·上城区,1年,硕士,"统计学
经济学
量化分析预测
能源供需变化
五险一金
年终奖金
定期体检
周末双休
带薪年假
节日福利
员工旅游",北京经世万方信息技术有限公司,民营  |  50-150人,计算机软件
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
产业经济高级研究员,1.5-1.8万,深圳·南山区,2年,硕士,"工业政策
市场洞察
数字经济
绿色低碳产业
电子信息领域
产业分析
周末双休
带薪年假
五险一金
绩效奖金",深圳赛西信息技术有限公司,国企  |  50-150人,检测，认证
产业经济研究,8千-1.5万,广州,无需经验,本科,"五险一金
弹性工作
绩效奖金
节日福利",广东铭太信息科技有限公司,民营  |  150-500人,计算机软件
经济学期刊编辑,7千-1.4万,武汉·洪山区,无需经验,本科,"经济
金融
管理
经管
外贸
期刊
出版
学术
科研
会议
五险一金
带薪年假
绩效奖金
节日福利
团建旅游
餐饮补贴
交通补贴
专业培训
名企游学",武汉研锶信息科技有限公司,民营  |  少于50人,互联网/电子商务
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
数字经济与产业研究员[陕西西安],6-8千,西安·长安区,2年,本科,"绩效奖金
专业培训
补充医疗保险",重庆信息通信研究院,事业单位  |  150-500人,通信/电信/网络设备
经济商科教师,1.2-2万,澄迈,1年,硕士,"五险一金
专业培训
定期体检
寒暑假
多通道晋升
商业保险",海南微城未来教育学校,民营  |  500-1000人,教育/培训/院校
总部经济招商经理/拱墅区,8千-1.2万,杭州·拱墅区,2年,本科,"专业培训
五险一金
绩效奖金
年终奖金
每年调薪
晋升空间
周末双休
快速发展期
行业领先
体系化管理",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
金融/经济/统计/数学/建模/计量留学生辅导,3-4万,北京·朝阳区,无需经验,本科,"五险一金
员工旅游
交通补贴
餐饮补贴
补充公积金
通讯补贴
年终奖金
绩效奖金
专业培训",成都领可教育信息咨询有限公司,外资（非欧美）  |  50-150人,教育/培训/院校
经济商科教师,1.2-2万,澄迈,1年,硕士,"五险一金
专业培训
定期体检
寒暑假
多通道晋升
商业保险",海南微城未来教育学校,民营  |  500-1000人,教育/培训/院校
经济运行专员,5-8千,武汉,3-4年,本科,"经济运行
规划
做五休二
周末双休
带薪年假
五险一金
免费班车
餐饮补贴",中国长江动力集团有限公司,国企  |  1000-5000人,机械/设备/重工
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
研究人员（数字经济及科技创新系列）,1.2-2.4万·15薪,长沙,3-4年,本科,"数字经济
智库
研究报告
调研
行研
五险一金
交通补贴
通讯补贴
餐饮补贴
年终奖金
双休",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
经济商科教师,1.2-2万,澄迈,1年,硕士,"五险一金
专业培训
定期体检
寒暑假
多通道晋升
商业保险",海南微城未来教育学校,民营  |  500-1000人,教育/培训/院校
（急聘）项目专员（经济、统计学专业）,5千-1万,深圳·福田区,1年,本科,"五险一金
周末双休
弹性工作
带薪年假
绩效奖金
全勤奖
节日福利",深圳市鼎诚技术经济评价中心,非营利组织  |  少于50人,非营利组织
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
金融/经济研究员(月薪12k起),7千-1.4万·14薪,广州·越秀区,1年,本科,"经济分析研究
弹性工作
定期体检
五险一金
员工旅游
专业培训
出国机会
绩效奖金
年终奖金",广州丰荣发展有限公司,民营  ,计算机软件
经济商科教师,1.2-2万,澄迈,1年,硕士,"五险一金
专业培训
定期体检
寒暑假
多通道晋升
商业保险",海南微城未来教育学校,民营  |  500-1000人,教育/培训/院校
金融/经济/统计/数学/建模/计量留学生辅导,3-4万,北京·朝阳区,无需经验,本科,"五险一金
员工旅游
交通补贴
餐饮补贴
补充公积金
通讯补贴
年终奖金
绩效奖金
专业培训",成都领可教育信息咨询有限公司,外资（非欧美）  |  50-150人,教育/培训/院校
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
碳中和经济分析员,6.5千-1万,广州·越秀区,2年,本科,"计算机
经济学
碳排放
五险一金
交通补贴
通讯补贴
绩效奖金
年终奖金
周末双休
员工旅游",广东智合会计师事务所有限公司,民营  |  50-150人,会计/审计
经济商科教师,1.2-2万,澄迈,1年,硕士,"五险一金
专业培训
定期体检
寒暑假
多通道晋升
商业保险",海南微城未来教育学校,民营  |  500-1000人,教育/培训/院校
金融/经济/统计/数学/建模/计量留学生辅导,3-4万,北京·朝阳区,无需经验,本科,"五险一金
员工旅游
交通补贴
餐饮补贴
补充公积金
通讯补贴
年终奖金
绩效奖金
专业培训",成都领可教育信息咨询有限公司,外资（非欧美）  |  50-150人,教育/培训/院校
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
研究员（21世纪经济研究院）,1-2万,北京·朝阳区,2年,本科,"新闻
经济
宏观政策
营商环境
报告分析
五险一金
绩效奖金
年终奖金
定期体检",广东南方财经全媒体集团股份有限公司,国企  |  500-1000人,影视/媒体/艺术/文化传播
经济研究员,7千-1.2万,广州·越秀区,无需经验,大专,"金融
经济研究
行业研究
数据分析
弹性工作
专业培训
员工旅游
固定双休",广州丰荣发展有限公司,民营  |  50-150人,金融/投资/证券
产业经济研究员,7-9千,长沙·天心区,无需经验,硕士,"经济
建模
五险一金
年终奖金
定期体检
周末双休
带薪年假
节日福利",北京经世万方信息技术有限公司,民营  |  50-150人,计算机软件
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
工商管理学院--应用经济学助理导师,6-8千,珠海·香洲区,1年,硕士,"应用经济学
英语表达
周末双休
带薪年假
五险一金
免费班车
节日福利",北京师范大学-香港浸会大学联合国际学院,民营  |  500-1000人,教育/培训/院校
总部经济专员（杭州）(J12273),8千-1万,杭州·拱墅区,2年,本科,"五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
公积金按底薪",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
产业经济研究员,10-15万/年,沈阳·沈河区,无需经验,硕士,"经济
能源
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",北京经世万方信息技术有限公司,民营  |  50-150人,计算机软件
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
地区经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
营商环境及信用经济研究员,1-1.5万,北京·西城区,1年,硕士,"经济分析
餐饮补贴
五险一金
年终奖金
定期体检
带薪年假",中经网数据有限公司,国企  |  150-500人,互联网/电子商务
产业经济研究员,8千-1万,重庆·九龙坡区,2年,硕士,"产业经济
产业发展
工作计划
区域协调
战略规划
客户沟通
产业集群
经济发展
课题研究
周末双休
五险一金
绩效奖金
定期体检",重庆现代建筑产业发展研究院,非营利组织  |  50-150人,非营利组织
产业经济研究员,10-15万/年,郑州·二七区,2年,硕士,"经济
电力
能源
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",北京经世万方信息技术有限公司,民营  |  50-150人,计算机软件
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
Alevel经济学老师,1.5-2万,广州·天河区,2年,本科,"经济学
国际学科
ALEVEL
弹性工作
绩效奖金
五险一金
年终奖金",广州市越秀区环球精英培训中心,已上市  |  1000-5000人,教育/培训/院校
文章编辑/数学/心里学/经济/会计,1千/天,成都·成华区,无需经验,硕士,"数学
经济
心里学
文章
编辑
时间自由
绩效奖金
年终奖金
专业培训
弹性工作",成都粒粒派教育管理有限公司,民营  |  少于50人,教育/培训/院校
产业经济研究员,6-8千,合肥·政务区,无需经验,硕士,"五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",北京经世万方信息技术有限公司,民营  |  50-150人,计算机软件
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
高中经济老师 High School Economics teacher,1.5-2万,上海·闵行区,3-4年,硕士,"教师
老师
高中
经济
五险一金
员工旅游
交通补贴
专业培训
餐饮补贴
年终奖金
绩效奖金
定期体检",上海诺美学校,合资  |  150-500人,教育/培训/院校
